sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
149,RM1-8,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48678333,-177.0993667,1690,1723,middle,103.7,49.3,-36.99,3.2,179.3,7.538,5.585,7.051,674.5,6,0.47,-39.12,0.01,0.01,1.4,31.44,118.16,348.48,0.25,25,0.13,2.5,0.25,0.25,25,31.57,120.66,348.73,0.5,50,5.9,10.53,1.91,193.71,0.015,13013.97,2.5,0.5,23.95,0.7,5624.75,2.5,8.68,15.87,23.95,16257.49,21.66,1206.59,16.37,3232.53,256.49,0.7,1221.56,13.27,323.05,7.39,1.5,3,604.39,1.5,37.13,267.27,2,28.94,33.43,0,0,1,0,0,0,0,0,0
150,RM2-1,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48788333,-177.1844,1727,1760,upper,103.9,49.3,-36.99,16.2,260.5,8.389,7.44,8.48,4176.3,5.9,-5.24,-20.24,0.05,0.02,0.37,13.61,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,13.74,5,0.5,0.5,50,2780,120.91,307.4,19240,5.84,10399.2,2.5,2.69,21.66,0.4,8333.33,2.5,8.08,12.18,33.63,15000,13.67,1201.6,10.28,3698.6,194.81,0.4,16806.39,11.08,360.88,5.29,1.5,3,341.32,1.5,45.01,282.04,2,48.7,23.55,0,0,1,0,0,0,0,0,0
151,RM3-1,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.4869,-177.20715,1739,1772,upper,103.8,49.3,-36.99,14.2,276.7,8.163,7.58,8.046,4485.3,4.8,-1.45,-15.06,0.02,0.02,1.37,11.88,67.32,26.69,0.25,3911.84,0.13,2.5,0.25,0.25,25,12,69.82,26.94,0.5,3936.84,936.91,58.52,90.26,1018.18,1.878,14148.3,6.31,11.82,23.35,0.8,7292.59,2.5,10.52,14.03,28.36,17134.27,49.1,1491.98,4.81,4058.12,236.57,0.7,2090.18,13.83,350.5,7.41,1.5,3,527.66,1.5,44.69,325.25,2,52.91,30.96,0,0,1,0,0,0,0,0,0
152,RM3-8,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48116667,-177.1326333,1644,1676,middle,103.1,49.3,-36.99,7.3,195.4,7.875,7.331,7.756,3827.4,9.8,3.09,-11.12,0.02,0.03,1.87,9.85,105.19,20.81,0.25,5917.8,0.13,2.5,0.25,0.25,25,9.97,107.69,21.06,0.5,5942.8,3978,34.87,219.95,504.45,4.18,17107.36,2.5,2.09,37.97,0.8,12167,2.5,9.84,15.61,10.34,17167,31.61,1826.04,6.06,4145.13,291.85,0.4,1577.53,14.91,303.18,8.85,1.5,3,479.32,1.5,59.15,302.88,2,34.89,37.87,0,0,1,0,0,0,0,0,0
153,SH1-1,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35655,-175.1108,2095,2129,upper,89,41.6,-36.24,5.6,28.3,4.658,4.134,4.654,20285,10.2,-4.11,-24.24,0.09,0.11,1.22,25.95,2.5,483.15,0.25,18865.5,0.13,2.5,0.25,0.25,25,26.08,5,483.4,0.5,18890.5,4733.19,175.97,2542.61,4468.04,86.39,10130.78,5.23,0.5,37.73,1.11,14778.67,2.5,8.15,12.78,0.5,14517.1,22.64,1708.25,5.23,4638.83,289.34,0.6,4541.25,10.26,215.19,18.61,1.5,3,458.55,1.5,213.68,115.49,2,16.7,43.96,0,0,0,0,0,0,0,1,0
154,SH1-6,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35123333,-175.1727333,2008,2042,upper,88.4,41.6,-36.24,0.7,129.1,5.369,4.382,5.272,4581.7,6.8,-1.12,-24.41,0.1,0.56,5.79,0.13,76.64,511.77,0.25,3344.81,0.13,2.5,0.25,0.25,25,0.25,79.14,512.02,0.5,3369.81,854.69,75.13,310.37,1213.4,3.726,10428.29,5.18,0.5,43.13,0.5,5037.85,2.5,9.26,12.35,6.77,15029.88,17.23,1431.27,0.7,3219.12,349.9,0.8,1875.5,12.05,267.53,19.52,1.5,3,255.18,1.5,36.95,67.13,2,20.32,42.33,0,0,0,0,0,0,0,1,0
155,SH2-1,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35905,-175.0787333,2083,2116,upper,89,41.6,-36.24,9.4,100.7,4.479,3.71,4.481,7882.5,7.5,0.36,-24.48,0.08,0.64,8.04,11.62,2.5,245.67,0.25,9367.25,0.13,2.5,0.25,0.25,25,11.74,5,245.92,0.5,9392.25,2951,53.87,1127.4,1059.6,14.92,12151.39,7.07,0.5,41.83,0.8,6567.73,2.5,9.46,16.63,0.5,17350.6,12.05,1784.86,2.59,4223.11,315.04,1,1665.34,13.15,264.54,18.73,3.98,3,564.14,1.5,61.35,195.72,2,22.31,52.79,0,0,0,0,0,0,0,1,0
156,SH3-2,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.3597,-175.0693,2092,2125,upper,89,41.6,-36.24,13.7,50.6,4.279,3.63,4.245,23742.7,8.8,-3.09,-25.09,0.21,0.17,0.84,25.65,2.5,1532.38,0.25,18232.99,0.13,2.5,0.25,0.25,25,25.78,5,1532.63,0.5,18257.99,4981.68,74.46,4789.81,5060.13,24.918,12249,2.5,0.5,38.86,1,8522.09,2.5,9.04,14.66,0.5,18995.98,10.04,1898.59,4.12,7722.89,338.76,0.8,5236.95,13.86,372.49,18.67,1.5,3,967.07,1.5,78.61,144.58,2,25.6,60.24,0,0,0,0,0,0,0,1,0
157,SH3-8,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35691667,-175.1621,2013,2046,upper,89,41.6,-36.24,3.1,327.8,6.507,5.82,6.446,13652,6.5,-3.76,-24.54,0.16,0.16,1.01,0.13,37.5,1021.63,0.25,8336.96,0.13,2.5,0.25,0.25,25,0.25,40,1021.88,0.5,8361.96,3336.16,96.62,1547.45,2697.85,35.65,10268.39,2.5,0.5,41.05,0.5,6928.43,2.5,8.85,11.73,9.84,13121.27,8.15,1488.07,0.05,4012.92,269.98,0.5,2998.01,11.93,276.54,17.79,1.5,3,325.75,1.5,66.4,60.93,2,29.72,31.91,0,0,1,0,0,0,0,0,0
158,TGV1-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92033333,-176.9902,1180,1216,middle,42.9,87.9,-30.55,22.5,180.4,7.444,7.03,7.47,12663.7,7.2,12.67,-30.6,0.1,0.05,0.49,23.73,2559.82,703.42,0.25,8272.72,21.31,165.26,27.53,0.25,8668.98,45.04,2725.08,730.95,0.5,16941.69,5431.12,124.38,1232.42,2447.28,25.787,20863.45,2.5,0.5,42.07,0.8,12319.28,2.5,10.24,20.38,13.65,20602.41,6.33,3011.04,1.31,6565.26,369.68,0.6,2730.92,18.67,286.45,15.66,4.92,3,470.38,1.5,69.58,138.35,2,29.92,57.23,0,0,0,0,1,0,0,0,0
159,TGV1-8,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91536667,-176.8791333,870,907,middle,42.1,87.9,-30.55,11.7,205.7,7.643,5.922,6.839,110.9,3.7,5.07,-20.8,0.02,0.11,5.48,0.13,39.93,0.25,0.25,25,0.13,44.04,0.25,0.25,25,0.25,83.97,0.5,0.5,50,14.79,26.53,7.8,16.52,0.035,9551.59,2.5,0.5,23.61,0.4,4371.03,2.5,9.23,13.59,6.45,14781.75,2.5,998.02,0.05,3669.64,306.65,0.1,454.27,15.28,272.22,10.81,1.5,3,239.09,1.5,19.25,204.66,2,16.37,36.71,0,0,1,0,0,0,0,0,0
160,TGV2-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91903333,-177.06025,1064,1101,middle,42.9,87.9,-30.55,19.4,170.7,7.335,6.032,6.918,777.8,2.4,4.85,-27.01,0.03,0.27,10.99,3.53,109.68,16.63,0.25,25,0.13,46.54,0.25,0.25,25,3.66,156.21,16.88,0.5,50,13.46,36.19,8.29,146.98,0.06,10672.69,5.02,0.5,26.81,0.5,5714.86,2.5,9.24,16.06,1.61,14538.15,2.5,1080.32,0.05,3415.66,319.58,0.5,765.56,14.76,297.29,11.35,3.51,3,388.76,1.5,27.01,348.09,2,20.68,37.95,0,0,1,0,0,0,0,0,0
161,TGV3-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.90956667,-177.0217333,1202,1238,middle,41.8,87.9,-30.55,10.7,356,7.887,7.538,7.849,6886.8,3.8,14.11,-28.56,0.03,0.03,0.74,0.13,2.5,0.25,0.25,25,16.28,2.5,10.4,0.25,7886.63,16.41,5,10.65,0.5,7911.63,5176.23,52.06,1037.65,544.08,76.026,7233.47,2.5,2.81,21.94,0.3,20350.7,2.5,7.01,13.73,0.5,10230.46,2.5,1256.51,0.05,4739.48,154.01,0.3,796.29,12.42,286.97,8.22,1.5,3,263.53,1.5,208.42,206.31,2,11.02,32.16,0,0,0,0,1,0,0,0,0
162,TGV3-9,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91368333,-176.8831667,870,906,middle,41.9,87.9,-30.55,2.3,299.3,7.966,6.796,7.449,593.5,3.2,5.06,-24.09,0.02,0.16,7.78,0.13,2.5,0.25,0.25,25,0.13,2.5,9.02,0.25,25,0.25,5,9.27,0.5,50,16.65,11.6,10.11,85.54,0.085,9697.6,10.88,94.41,22.36,1.6,4388.22,2.5,9.08,17.47,12.48,15169.66,121.46,902.69,14.47,3693.61,241.22,0.7,677.15,15.77,313.67,8.68,1.5,3,202,1.5,22.06,200.9,2,32.73,32.04,0,0,1,0,0,0,0,0,0
163,TN1-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92571667,-176.0692333,1088,1125,middle,42,87.9,-30.55,8.1,136.1,6.912,6.317,7.041,24488.1,9.9,1.98,-22.46,0.16,0.02,0.13,2.21,5783.31,1629.94,0.25,8341.86,4.81,282.89,80.22,0.25,7856.24,7.02,6066.2,1710.16,0.5,16198.1,6335.22,59.01,1205.3,3822.5,21.229,28618.29,2.5,22.37,30.12,1.19,18896.62,2.5,11.63,24.55,16.8,24065.61,43.34,3821.07,18.19,9053.68,626.54,0.5,6207.75,16.8,326.44,15.71,1.5,3,847.42,1.5,78.53,212.33,4.08,34.29,77.34,0,0,0,0,0,0,0,0,1
164,TN1-8,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91481667,-176.1509167,837,874,middle,40.9,87.9,-30.55,10.6,204.5,7.6,6.899,7.334,1571.3,8.8,0.91,2.11,0.02,0.15,7.88,5.91,181.6,0.25,0.25,414.21,2.39,43.49,0.25,0.25,25,8.3,225.1,0.5,0.5,439.21,57.54,18.36,18.07,229.12,0.2,21750,5.7,2.8,52.8,1,13110,2.5,12.1,19.6,10.5,24300,22.9,2908,16.5,5663,970,0.5,1744,14.4,437,20.2,1.5,3,952.3,1.5,46,289.3,2,32.9,81.1,0,0,0,0,0,0,0,0,1
165,TN2-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92381667,-176.0987667,982,1019,middle,41.8,87.9,-30.55,10.7,166.3,7.526,6.65,7.359,1333,9.3,3.98,-17.12,0.02,0.06,2.68,4.43,273.11,17.67,0.25,25,0.13,47.66,0.25,0.25,25,4.56,320.77,17.92,0.5,50,329.71,46.89,33.32,115.37,0.535,24698.8,5.12,0.5,63.96,1.31,9393.57,2.5,12.25,27.71,18.17,25742.97,14.76,3236.95,15.06,7041.16,724.9,0.1,1281.12,17.77,385.34,19.28,1.5,3,555.12,1.5,71.59,310.24,2,36.04,86.85,0,0,0,0,0,0,0,0,1
166,TN3-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92271667,-176.1242333,1050,1087,middle,41.7,87.9,-30.55,21.7,232.1,7.411,6.678,7.244,1396.8,12.2,3.18,1.7,0.03,0.37,12.03,9.05,77.45,18.31,0.25,1082.55,16.72,37.88,18.61,9.14,25,25.77,115.33,36.92,9.39,1107.55,150.4,40.9,18.84,257.89,0.205,23740,2.5,0.5,89.2,1.3,18370,2.5,12.1,21.6,18.9,24910,8.7,3381,15,5737,1010,0.3,874.6,15.8,404.5,16.3,1.5,3,1077,1.5,58.1,164.3,2,34.6,90.4,0,0,0,0,0,0,0,0,1
167,TN3-5,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.9182,-176.1281667,893,929,middle,41.2,87.9,-30.55,25.8,235.6,7.685,6.749,7.201,838.1,10,3.32,5.16,0.03,0.61,23.64,8.46,130.51,9.33,0.25,25,2.75,2.5,0.25,0.25,25,11.2,133.01,9.58,0.5,50,81.72,39.41,28.1,218.07,0.19,26255.02,5.12,0.5,80.52,1.41,22309.24,2.5,11.95,25.9,14.56,26937.75,6.12,3760.04,15.86,7229.92,995.28,0.1,1232.93,15.76,408.43,18.98,1.5,3,995.68,1.5,74.9,186.65,2,34.24,104.22,0,0,0,0,0,0,0,0,1
168,VV-0,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305,1490.72,1542.29,middle,62.6,37,-31.26,9.6,151.6,8.792,7.664,6.852,38.9,1,-14.83,-31.92,0.01,0.03,4.21,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,9.09,36.18,2.89,9.5,0.025,750.69,2.5,0.5,0.5,0.5,158.33,2.5,0.5,1.29,0.5,979.17,2.5,102.28,0.05,204.96,14.58,0.1,176.98,0.5,58.83,1.5,1.5,3,228.47,1.5,1.69,19.94,2,0.5,0.25,0,0,1,0,0,0,0,0,0
169,VV-d,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305,1490.72,1542.29,middle,62.6,37,-31.26,9.6,151.6,8.67,7.507,6.972,52.5,0.9,-8.53,-35.99,0.01,0.02,3.17,6.33,2.5,0.25,0.25,25,0.13,110.08,0.25,0.25,25,6.46,112.58,0.5,0.5,50,8.69,132.97,4.4,23.81,0.03,985.89,2.5,0.5,1.01,0.5,289.82,2.5,0.5,1.01,0.5,1320.56,2.5,131.45,0.05,247.68,23.79,0.3,60.18,1.31,14.01,1.5,1.5,3,272.28,1.5,2.82,16.53,2,3.13,0.25,0,0,1,0,0,0,0,0,0
170,VV-J,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305,1490.72,1542.29,middle,62.6,37,-31.26,9.6,151.6,8.328,6.14,6.303,46.8,0.9,-14.04,-32.36,0.01,0.03,4.04,2.09,2.5,0.25,0.25,25,0.13,121.11,0.25,0.25,25,2.21,123.61,0.5,0.5,50,6.37,145.03,2.04,11.89,0.015,1395.79,2.5,0.5,0.5,0.5,320.04,2.5,1.2,2.4,0.5,1889.78,2.5,134.37,0.05,687.47,41.38,0.1,64.73,2.1,23.35,1.5,1.5,3,224.95,1.5,2.1,34.17,2,3.91,0.8,0,0,1,0,0,0,0,0,0
171,VV-L,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305,1490.72,1542.29,middle,62.6,37,-31.26,9.6,151.6,7.978,6.206,6.369,108.3,1.1,-12.67,-32.61,0.01,0.04,3.96,7.99,2.5,0.25,0.25,25,0.13,101.48,0.25,0.25,25,8.11,103.98,0.5,0.5,50,12.17,113.21,5.19,12.01,0.05,1316.27,5.12,95.48,0.5,0.5,474.5,2.5,1.51,5.52,0.5,1575.3,125.3,168.47,7.13,306.63,20.48,1.1,101.41,1.31,43.07,3.31,3.21,3,231.22,1.5,5.82,22.09,2,7.53,0.25,0,0,1,0,0,0,0,0,0
172,WV-BA 1,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.49556,160.87517,1683.36,1734.92,middle,62.5,37,-31.26,56.1,80.1,7.462,5.775,7.153,49.4,1.7,-9.95,-32.15,0.01,0.04,4.6,4.21,108.3,0.25,0.25,25,0.13,2.5,0.25,0.25,25,4.33,110.8,0.5,0.5,50,9.55,97.42,3.2,31.97,0.02,3115.46,2.5,19.18,1,0.5,1415.66,2.5,4.42,2.51,6.02,6234.94,42.87,259.84,4.22,1638.55,54.12,0.4,672.09,4.32,320.58,3.01,1.5,3,187.55,1.5,4.22,58.23,2,13.76,4.52,0,0,0,0,0,0,0,1,0
173,WV-UNN 1,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85,1423.02,1474.63,middle,61.4,37,-31.26,5.3,149.5,7.846,5.874,7.2,53,2.6,-8.63,-32.38,0.01,0.03,3.83,4.03,220.73,0.25,0.25,25,0.13,83.59,0.25,0.25,25,4.16,304.32,0.5,0.5,50,2.75,286.28,2.27,27.62,0.015,6765,5.1,0.5,1,0.5,3263,2.5,12,7.6,36.7,16170,24.1,486.8,5.3,4361,123.2,0.5,431.9,12.8,545.5,3.4,1.5,3,130.5,1.5,9,85.5,2,24.3,21.9,0,0,1,0,0,0,0,0,0
174,WV-UNN 3,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85,1423.02,1474.63,middle,61.4,37,-31.26,5.3,149.5,7.582,5.646,7.019,75.7,2.4,-11.03,-29.71,0.01,0.04,4.59,0.13,42.33,0.25,0.25,25,0.13,88.67,0.25,0.25,25,0.25,130.99,0.5,0.5,50,3.66,46,2.65,103.49,0.02,5012.05,2.5,0.5,0.5,0.5,2448.8,2.5,7.03,5.72,18.37,10732.93,15.36,359.24,1.81,2910.64,76.71,0.4,338.15,7.73,278.21,3.11,1.5,3,153.61,1.5,7.13,72.59,2,17.87,11.24,0,0,1,0,0,0,0,0,0
175,WV-UNN-2,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85,1423.02,1474.63,middle,61.4,37,-31.26,5.3,149.5,7.672,5.841,7.007,85.6,2.4,-11.06,-31.54,0.01,0.03,4.1,0.13,2.5,0.25,0.25,25,5.12,52.34,0.25,0.25,25,5.25,54.84,0.5,0.5,50,1.86,46.38,2.69,54.7,0.006,6931.55,2.5,0.5,13.89,4.96,3542.66,2.5,10.42,7.34,33.83,14930.56,9.33,452.68,6.45,3974.21,105.16,0.6,507.74,12,430.56,3.97,1.5,3,133.53,1.5,9.13,76.79,2,25.6,18.15,0,0,1,0,0,0,0,0,0
176,WV-ZS 2,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.498933,160.849133,1547.19,1598.76,middle,63.2,37,-31.26,39.9,351.7,6.899,5.893,6.765,746.9,1.5,-13.06,-36.25,0.01,0.01,1.36,5.43,156.11,45.64,0.25,25,9.3,67.86,0.25,0.25,25,14.73,223.97,45.89,0.5,50,4.48,110.5,14.7,189.45,0.038,3001,2.5,1.59,9.96,1,1274.9,2.5,3.49,4.58,0.5,5279.88,5.38,268.63,2.69,1367.53,48.31,0.5,430.88,4.68,122.31,2.99,3.39,3,261.16,1.5,6.47,100.6,2,10.76,5.18,0,0,0,0,0,0,0,1,0
